label,text_clean,text_preprocessed
negative,mr pres kami turut berduka atas korban gempa palu ijin juga menyampaikan byk potensi sdm yg blm bisa ikut cpns krn kinerja sistem yg kurang baikmohon dipantau,"['mr', 'pres', 'duka', 'korban', 'gempa', 'palu', 'ijin', 'byk', 'potensi', 'sdm', 'yg', 'blm', 'cpns', 'krn', 'kerja', 'sistem', 'yg', 'baikmohon', 'pantau']"
negative,wakil ketua dpr fadli zon kembali mendesak pemerintah agar menetapkan status bencana gempa dan tsunami di sulawesi tengah sebagai bencana nasional desakan tersebut disampaikan fadli saat mengunjungi kota palu pada rabu kemarin,"['wakil', 'ketua', 'dpr', 'fadli', 'zon', 'desak', 'perintah', 'tetap', 'status', 'bencana', 'gempa', 'tsunami', 'sulawesi', 'bencana', 'nasional', 'desa', 'fadli', 'unjung', 'kota', 'palu', 'rabu', 'kemarin']"
negative,ulurkan tangan untuk palu bersama fkp gempa bumi kembali menimpa bumi pertiwi setelah menimpa saudarasaudara kita di lombok saudara kita di donggala juga turut tertimpa bencana ini,"['ulur', 'tangan', 'palu', 'fkp', 'gempa', 'bumi', 'timpa', 'bumi', 'pertiwi', 'timpa', 'saudarasaudara', 'lombok', 'saudara', 'donggala', 'timpa', 'bencana']"
negative,gara rartna sarumpaet pd heboh palu donggala akeh wong ora pd mangan su aja pd ribut bae apa pengin di gulung gempa karo tsunami men ora ribut nang medsos su asu,"['gara', 'rartna', 'sarumpaet', 'pd', 'heboh', 'palu', 'donggala', 'akeh', 'ora', 'pd', 'mangan', 'su', 'aja', 'pd', 'ribut', 'bae', 'pengin', 'gulung', 'gempa', 'karo', 'tsunami', 'men', 'ora', 'ribut', 'nang', 'medsos', 'su', 'asu']"
negative,tementemen minta doanya salah satu temen rp aku kemarin sempet belum ditemukan waktu gempa di palu tapi hari ini udah ada konfirmasi kalau dia udah gak ada minta doanya supaya amalnya diterimanya,"['tementemen', 'doa', 'salah', 'temen', 'rp', 'kemarin', 'sempet', 'temu', 'gempa', 'palu', 'udah', 'konfirmasi', 'udah', 'gak', 'doa', 'amal', 'terima']"
negative,ini dia sosok orang terkaya seindonesia yang kirim makanan untuk korban gempa palu dengan jet pribadinya,"['sosok', 'orang', 'kaya', 'indonesia', 'kirim', 'makan', 'korban', 'gempa', 'palu', 'jet', 'pribadi']"
negative,jumat  september  telah terjadi gempa berkekuatan   sr di donggala sulawesi tengah yang diikuti gelombang tsunami yang dikabarkan mencapai ketinggian  meter bahkan dikabarkan hingga  meter telah menghancurkan kota palu dan sekitarnya,"['jumat', 'september', 'gempa', 'kuat', 'sr', 'donggala', 'sulawesi', 'ikut', 'gelombang', 'tsunami', 'kabar', 'capai', 'tinggi', 'meter', 'kabar', 'meter', 'hancur', 'kota', 'palu']"
negative,cerita tentang seorang hafizah di gempa palu  ria hafizah  juz yg saya kenal di gedung banua quran berlantai  yg runtuh akibat gempa yg menggoncang kota palu kala maghrib jumat  sept  malam itu,"['cerita', 'hafizah', 'gempa', 'palu', 'ria', 'hafizah', 'juz', 'yg', 'kenal', 'gedung', 'banua', 'quran', 'lantai', 'yg', 'runtuh', 'akibat', 'gempa', 'yg', 'menggoncang', 'kota', 'palu', 'maghrib', 'jumat', 'sept', 'malam']"
negative,bergerak cepat dalam pencarian korban bencana alam gempa dan tsunami di sulteng prajurit raider wyc bersama tim basarnas membongkar puing puing reruntuhan gedung untuk mencari kemungkinan korban selamat akibat bencana palu rabu,"['gerak', 'cepat', 'cari', 'korban', 'bencana', 'alam', 'gempa', 'tsunami', 'sulteng', 'prajurit', 'raider', 'wyc', 'tim', 'basarnas', 'bongkar', 'puing', 'puing', 'runtuh', 'gedung', 'cari', 'korban', 'selamat', 'akibat', 'bencana', 'palu', 'rabu']"
negative,palu tangkap pembobol dan penjarah atm pasca gempa,"['palu', 'tangkap', 'bobol', 'jarah', 'atm', 'pasca', 'gempa']"
negative,alfionita saat terjadi gempa di palu tengah menggendong sambil menyusui sang anak yang masih berumur  hari,"['alfionita', 'gempa', 'palu', 'gendong', 'susu', 'sang', 'anak', 'umur']"
negative,penanganan pasca gempa amp tsunami di palu donggala amp sigi oleh semua unsur berjalan baik tetap semangat ayoo ulurkan tangan guna meringankan beban para korban,"['tangan', 'pasca', 'gempa', 'amp', 'tsunami', 'palu', 'donggala', 'amp', 'sigi', 'unsur', 'jalan', 'semangat', 'ayoo', 'ulur', 'tangan', 'ringan', 'beban', 'korban']"
negative,dan terjadi lagi penjarahan sumbangan untuk sesama korban gempa,"['jarah', 'sumbang', 'korban', 'gempa']"
negative,tiga bocah terpisah dengan orangtuanya pasca gempa   sr di palu yusman nadia dan asep adalah tiga bersaudara yang menunggu kabar orangtuanya,"['bocah', 'pisah', 'orangtuanya', 'pasca', 'gempa', 'sr', 'palu', 'yusman', 'nadia', 'asep', 'saudara', 'tunggu', 'kabar', 'orangtuanya']"
negative,jadi benar fotonya hoax karena bukantidak menggambarkan kejadian gempa di palu,"['foto', 'hoax', 'bukantidak', 'gambar', 'jadi', 'gempa', 'palu']"
negative,kaum  itu justru membuat narasi baru untuk menyerang jokowi yang sedang fokus menangani bantuan untuk korban gempa dan tsunami di palu donggala dan sekitarnya narasi mereka dibohongi ratna sarumpaet saja kita tidak terima apalagi dibohongi pemimpin,"['kaum', 'narasi', 'serang', 'jokowi', 'fokus', 'tangan', 'bantu', 'korban', 'gempa', 'tsunami', 'palu', 'donggala', 'narasi', 'bohong', 'ratna', 'sarumpaet', 'terima', 'bohong', 'pimpin']"
negative,posko bantuan kemanusiaan korban gempa dan tsunami palu dan donggala untuk wilayah kab takalar di pusatkan di makodim takalar dari berbagai instansi dan masyarakat sangat antusias dalam mengumpulkan bantuan kemanusiaan dibantu oleh anggota kodim takalar,"['posko', 'bantu', 'manusia', 'korban', 'gempa', 'tsunami', 'palu', 'donggala', 'wilayah', 'kab', 'takalar', 'pusat', 'makodim', 'takalar', 'instansi', 'masyarakat', 'antusias', 'kumpul', 'bantu', 'manusia', 'bantu', 'anggota', 'kodim', 'takalar']"
negative,nz  pndj   alaidid  chotimah   saat negara dalam kondisi berduka mereka tetep menyebar hoax mental mereka seperti para penjarah korban gempa palu itu semoga polisi segera mengusut perbuatan fitnah mereka,"['nz', 'pndj', 'alaidid', 'chotimah', 'negara', 'kondisi', 'duka', 'tetep', 'sebar', 'hoax', 'mental', 'jarah', 'korban', 'gempa', 'palu', 'moga', 'polisi', 'usut', 'buat', 'fitnah']"
negative,pahlawan biarkan beliau bekerja merapi kan bekas musibah gempa dan sunami di palu dan donggala capres di jakarta sibuk konpres minta maaf atas kecerobohan nya,"['pahlawan', 'biar', 'beliau', 'rapi', 'bekas', 'musibah', 'gempa', 'sunam', 'palu', 'donggala', 'capres', 'jakarta', 'sibuk', 'konpres', 'maaf', 'ceroboh', 'nya']"
negative,di dalam grup pada ribut beragumen yang dihubungkan dengan kejadian gempa amp tsunami di donggala dan palu sulawesi tengah yang bikin ngakak mereka percaya aja kalau gambar iluminati itu ada di palu dan akan di resmikan namun saat akan diresmikan malah kena bencana,"['grup', 'ribut', 'beragumen', 'hubung', 'jadi', 'gempa', 'amp', 'tsunami', 'donggala', 'palu', 'sulawesi', 'bikin', 'ngakak', 'percaya', 'aja', 'gambar', 'iluminati', 'palu', 'resmi', 'resmi', 'kena', 'bencana']"
negative,its peduli palu bapakibu sekalian yang kami hormati bencana alam gempa bumi dan tsunami yang telah menimpa saudara kita di palu sulawesi tengah telah meninggalkan duka yang,"['its', 'peduli', 'palu', 'bapakibu', 'hormat', 'bencana', 'alam', 'gempa', 'bumi', 'tsunami', 'timpa', 'saudara', 'palu', 'sulawesi', 'tinggal', 'duka']"
negative,i liked a  video  saya boleh ikut tidak tanya bocah yang ibunya meninggal karena gempa palu kepada,"['i', 'liked', 'a', 'video', 'bocah', 'ibu', 'tinggal', 'gempa', 'palu']"
negative,cerita haru jokowi temui bocah pemberani korban gempa palu ada sepenggal momen haru dan sedih ketika presiden joko widodo jokowi mengunjungi lokasi gempa di palu sulawesi tengah,"['cerita', 'haru', 'jokowi', 'temu', 'bocah', 'berani', 'korban', 'gempa', 'palu', 'penggal', 'momen', 'haru', 'sedih', 'presiden', 'joko', 'widodo', 'jokowi', 'unjung', 'lokasi', 'gempa', 'palu', 'sulawesi']"
negative,mas mungkin akan sangat mulia klu dibuatkan kue pisang dlm jumlah yg banyak untuk para pengungsi korban gempa bumi di palu dan sekitarnya,"['mas', 'mulia', 'klu', 'buat', 'kue', 'pisang', 'dlm', 'yg', 'ungsi', 'korban', 'gempa', 'bumi', 'palu']"
negative,rusli harus diproses hukum dong dia bikin hoax dan dampaknya seindonesia jadi gaduh yg lebih parah dia merugikan dan mempermalukan kubu prabowosandi juga mengalihkan perhatian kita dari gempa tsunami di palu,"['rusli', 'proses', 'hukum', 'bikin', 'hoax', 'dampak', 'indonesia', 'gaduh', 'yg', 'parah', 'rugi', 'malu', 'kubu', 'prabowosandi', 'alih', 'perhati', 'gempa', 'tsunami', 'palu']"
negative,motor tetangga selamatkan fitria dan keluarga dari gempa palu,"['motor', 'tetangga', 'selamat', 'fitria', 'keluarga', 'gempa', 'palu']"
negative,hari kelima pasca gempa sebagian lampu jalan di palu sudah menyala  lewat,"['pasca', 'gempa', 'lampu', 'jalan', 'palu', 'nyala']"
negative,jumlah fasilitas mck di berbagai lokasi terdampak gempa dan tsunami di palu dan donggala sangat terbatas jika persoalan sanitasi tak segera ditangani para pengungsi dikhawatirkan terjangkit berbagai wabah penyakit,"['fasilitas', 'mck', 'lokasi', 'dampak', 'gempa', 'tsunami', 'palu', 'donggala', 'batas', 'sanitasi', 'tangan', 'ungsi', 'khawatir', 'jangkit', 'wabah', 'sakit']"
negative,kalo kubu jokowi ini yg melakukan langsung rombongan fadli zon akan membuat gerakan pemakzulan presiden dan demonstrasi berjilid jilid chaos terjadi dan akhirnya kubu mereka menjadi penguasa pemerintah lagi fokus penanganan musibah gempa dan tsunami di palu dibilang pencitraan,"['kalo', 'kubu', 'jokowi', 'yg', 'langsung', 'rombong', 'fadli', 'zon', 'gera', 'makzul', 'presiden', 'demonstrasi', 'jilid', 'jilid', 'chaos', 'kubu', 'kuasa', 'perintah', 'fokus', 'tangan', 'musibah', 'gempa', 'tsunami', 'palu', 'bilang', 'citra']"
negative,imaret buka klinik  minit dari pusat gempa palu,"['imaret', 'buka', 'klinik', 'minit', 'pusat', 'gempa', 'palu']"
negative,ginian digoreng terus bagus klean bertindak lebih utk palu dampak amp korbannya lebih besar dari gempa lombok,"['ginian', 'goreng', 'bagus', 'klean', 'tindak', 'utk', 'palu', 'dampak', 'amp', 'korban', 'gempa', 'lombok']"
negative,pmii kebumen menylenggarakan mengumpulkan donasi utk korban gempaamptsunami di donggala palusulteng,"['pmii', 'kebumen', 'menylenggarakan', 'kumpul', 'donasi', 'utk', 'korban', 'gempaamptsunami', 'donggala', 'palusulteng']"
negative,hahahaha klo fpi yg membantu menangani korban gempa palu dibilang hoax sama penguasa,"['hahahaha', 'klo', 'fpi', 'yg', 'bantu', 'tangan', 'korban', 'gempa', 'palu', 'bilang', 'hoax', 'kuasa']"
negative,yess terus berjuang pak sampai hukum ditegakkan saya gemes banget mereka tega disaat indonesia berduka dengan korban gempa di palu dan presiden  sedang fokus bekerja sempet nya bikin fitnah dan rusuh,"['yess', 'juang', 'hukum', 'tegak', 'gemes', 'banget', 'tega', 'saat', 'indonesia', 'duka', 'korban', 'gempa', 'palu', 'presiden', 'fokus', 'sempet', 'nya', 'bikin', 'fitnah', 'rusuh']"
negative,belajar dari gempa palu indonesia betulbetul butuh sistem logistik kedaruratan bencana  via,"['ajar', 'gempa', 'palu', 'indonesia', 'betulbetul', 'butuh', 'sistem', 'logistik', 'darurat', 'bencana', 'via']"
negative,langsung sedih ketika di explore ig yg isinya cm foto nenek bukan foto gempa palu pliss situ tau kan mana berita yg lebih penting,"['langsung', 'sedih', 'explore', 'ig', 'yg', 'isi', 'cm', 'foto', 'nenek', 'foto', 'gempa', 'palu', 'pliss', 'situ', 'tau', 'berita', 'yg']"
negative,mereka berhasil  membuat panggung sendiri setelah beberapa saat merasa ga kebagian slot krn berita gempa palu  menggiring opini bahwa polri tdk bisa dipercaya tdk lapor krn trauma katanya  narasi menjadi korban padahal sebaliknya merekalah dalangnya ada yg bisa namabahin,"['hasil', 'panggung', 'ga', 'bagi', 'slot', 'krn', 'berita', 'gempa', 'palu', 'giring', 'opini', 'polri', 'tdk', 'percaya', 'tdk', 'lapor', 'krn', 'trauma', 'narasi', 'korban', 'dalang', 'yg', 'namabahin']"
negative,bang  masa gak tau sih ke napa pemerintah tdk mau menetapkan status bencana nasional di gempa lombok dan palu sbb bencana nasional sesungguhnya sdh di tetapkan sejak oktober  dimana saat itu orang plangaplongo dilantik jadi pemimpin berdasar pilpres yg curang,"['bang', 'gak', 'tau', 'sih', 'napa', 'perintah', 'tdk', 'tetap', 'status', 'bencana', 'nasional', 'gempa', 'lombok', 'palu', 'sbb', 'bencana', 'nasional', 'sungguh', 'sdh', 'tetap', 'oktober', 'mana', 'orang', 'plangaplongo', 'lantik', 'pimpin', 'dasar', 'pilpres', 'yg', 'curang']"
negative,balikpapan ditetapkan sebagai daerah penanggulangan gempa dan tsunami di palu  tribun kaltim,"['balikpapan', 'tetap', 'daerah', 'tanggulang', 'gempa', 'tsunami', 'palu', 'tribun', 'kaltim']"
negative,tribunvideo saya boleh ikut tidak tanya bocah yang ibunya meninggal karena gempa palu kepada presiden jokowi,"['tribunvideo', 'bocah', 'ibu', 'tinggal', 'gempa', 'palu', 'presiden', 'jokowi']"
