full_text,label,compound,polarity
Gempa dan Tsunami di Palu Donggala CEO Google Sumbang 1 Juta Dollar: Raka https://t.co/ePjxksD0ZL #kabarmalang,1.0,0,neutral
@jokowi Mr pres kami turut berduka atas korban gempa palu ijin juga menyampaikan byk potensi sdm yg blm bisa ikut cpns krn kinerja sistem yg kurang baik.mohon dipantau,1.0,-14,negative
Wakil Ketua DPR Fadli Zon kembali mendesak Pemerintah agar menetapkan status bencana gempa dan tsunami di Sulawesi Tengah sebagai bencana nasional. Desakan tersebut disampaikan Fadli saat mengunjungi kota Palu pada Rabu kemarin. #BeritaSONORA https://t.co/4B4VaNvGek,2.0,-25,negative
Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu https://t.co/oWZZ6tFHto https://t.co/o5bntuscNL,1.0,0,neutral
Penggalangan Dana Tim Relawan BMI HK untuk Korban Gempa &amp; Tsunami (Palu-Donggala) #SavethePeople #SarvethePeople #indonesiabangkit #JbmiHk https://t.co/LObvAfdJYC,1.0,0,neutral
*ULURKAN TANGAN UNTUK PALU BERSAMA FKP* Gempa bumi kembali menimpa bumi pertiwi setelah menimpa saudara-saudara kita di Lombok saudara kita di Donggala juga turut tertimpa bencana ini https://t.co/dUxxMzYdnM,1.0,-14,negative
Gara2 Rartna sarumpaet pd heboh palu donggala akeh wong ora pd mangan su aja pd ribut bae apa pengin di gulung gempa karo tsunami men ora ribut nang medsos su asu,1.0,-11,negative
Begini Perjuangan Warga Palu untuk Dapat BBM Usai Gempa dan Tsunami https://t.co/Y56HSoVHe0,1.0,0,neutral
Temen-temen minta doanya salah satu temen rp aku kemarin sempet belum ditemukan waktu gempa di Palu tapi hari ini udah ada konfirmasi kalau dia udah gak ada: minta doanya supaya amalnya diterima-NYA. //,1.0,-2,negative
Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu https://t.co/l8rGfOE9nt,1.0,0,neutral
Ini Dia Sosok Orang Terkaya Se-Indonesia yang Kirim Makanan untuk Korban Gempa Palu dengan Jet Pribadinya https://t.co/3Q3JJfPyfh #LINETODAY,1.0,-5,negative
#binaamalpeduli Jumat 29 September 2018 telah terjadi gempa berkekuatan 7 7 SR di Donggala Sulawesi Tengah yang diikuti gelombang tsunami yang dikabarkan mencapai ketinggian 2 meter bahkan dikabarkan hingga 6 meter telah menghancurkan Kota Palu dan sekitarnya. https://t.co/2JpiYO34th,2.0,-4,negative
Mau sedekah bt saudara kita di Lombok &amp; Palu? PayTrenin aja No Ribet ... . https://t.co/QMDnwsDITR #gempapalu #lombokbangkit #prayfordonggala #prayforlombok https://t.co/htApBoQVJe,1.0,1,positive
Relawan Pemuda Peduli Palestina Bantu Korban Gempa Palu Dana Dikumpulkan Selama 9 Hari https://t.co/7Xd7tRJuND,1.0,0,neutral
Curahan Hati Anak Korban Gempa Palu Usai Bertemu Jokowi 'Mama Sudah Di Atas Sekali Sudah di Surga' https://t.co/lwjOwPG3XB,1.0,0,neutral
#BabeKasihTau Ini Alasan Prabowo Tak Kunjungi Korban Gempa Bumi Palu #message https://t.co/pLEUDmaXp1,2.0,0,neutral
Tunjukkan kepedulianmu untuk korban gempa dan tsunami di Palu dan Donggala Salurkan donasi dengan menukarkan *10 Telkomsel Poin* Ketik *PEDULI* kirim SMS ke *777* . Dengan 10 Poin kamu https://t.co/M3nzw27Lhy,1.0,2,positive
Panglima TNI Tinjau Perkembangan Penanganan Jenazah Korban Gempa Di Palu https://t.co/MxJ8HR5lat,1.0,0,neutral
Sabar... Persiapan pengawalan 500 truk bantuan tsunami dan gempa ke palu dari Ditlantas Makassar ke Palu Donggala,1.0,1,positive
Jika ada komunitas yg akan menjadi relawan dr Malang untuk gempa tsunami palu dapatkah dibantu sarana transportasi? @e100ss @PuspitaFM @BNPB_Indonesia @_TNIAU @Sutopo_PN @jokowi @BudiKaryaS,1.0,6,positive
cerita tentang seorang hafizah di gempa palu : Ria Hafizah 30 Juz yg saya kenal di gedung Banua Quran berlantai 3 yg runtuh akibat Gempa yg menggoncang kota Palu kala maghrib (Jumat 28 sept 2018) malam itu ... https://t.co/IdLXyTjYI5,1.0,-14,negative
