full_text,compound,polarity
@jokowi Mr pres kami turut berduka atas korban gempa palu ijin juga menyampaikan byk potensi sdm yg blm bisa ikut cpns krn kinerja sistem yg kurang baik.mohon dipantau,-14,negative
Wakil Ketua DPR Fadli Zon kembali mendesak Pemerintah agar menetapkan status bencana gempa dan tsunami di Sulawesi Tengah sebagai bencana nasional. Desakan tersebut disampaikan Fadli saat mengunjungi kota Palu pada Rabu kemarin. #BeritaSONORA https://t.co/4B4VaNvGek,-25,negative
*ULURKAN TANGAN UNTUK PALU BERSAMA FKP* Gempa bumi kembali menimpa bumi pertiwi setelah menimpa saudara-saudara kita di Lombok saudara kita di Donggala juga turut tertimpa bencana ini https://t.co/dUxxMzYdnM,-14,negative
Gara2 Rartna sarumpaet pd heboh palu donggala akeh wong ora pd mangan su aja pd ribut bae apa pengin di gulung gempa karo tsunami men ora ribut nang medsos su asu,-11,negative
Temen-temen minta doanya salah satu temen rp aku kemarin sempet belum ditemukan waktu gempa di Palu tapi hari ini udah ada konfirmasi kalau dia udah gak ada: minta doanya supaya amalnya diterima-NYA. //,-2,negative
Ini Dia Sosok Orang Terkaya Se-Indonesia yang Kirim Makanan untuk Korban Gempa Palu dengan Jet Pribadinya https://t.co/3Q3JJfPyfh #LINETODAY,-5,negative
#binaamalpeduli Jumat 29 September 2018 telah terjadi gempa berkekuatan 7 7 SR di Donggala Sulawesi Tengah yang diikuti gelombang tsunami yang dikabarkan mencapai ketinggian 2 meter bahkan dikabarkan hingga 6 meter telah menghancurkan Kota Palu dan sekitarnya. https://t.co/2JpiYO34th,-4,negative
cerita tentang seorang hafizah di gempa palu : Ria Hafizah 30 Juz yg saya kenal di gedung Banua Quran berlantai 3 yg runtuh akibat Gempa yg menggoncang kota Palu kala maghrib (Jumat 28 sept 2018) malam itu ... https://t.co/IdLXyTjYI5,-14,negative
Bergerak cepat dalam pencarian Korban bencana alam Gempa dan Tsunami di Sulteng Prajurit Raider 700/WYC bersama Tim Basarnas membongkar puing puing reruntuhan gedung untuk mencari kemungkinan korban selamat akibat bencana. Palu Rabu (03/10). https://t.co/OEmJG81OF0,-7,negative
Palu tangkap pembobol dan penjarah ATM pasca gempa. #polsekkroya #poldajateng #polrescilacap https://t.co/azs3g46WME,-3,negative
Alfionita saat terjadi gempa di Palu tengah menggendong sambil menyusui sang anak yang masih berumur 12 hari. https://t.co/FHxSUnCDA7,-1,negative
Penanganan pasca gempa &amp; tsunami di palu donggala &amp; sigi oleh semua unsur berjalan baik. Tetap semangat. Ayoo ulurkan tangan guna meringankan beban para korban,-3,negative
Dan terjadi lagi penjarahan sumbangan untuk sesama korban gempa. #cemilcomel #gempa #gempapalu https://t.co/FLDsQgJBBZ,-4,negative
Tiga bocah terpisah dengan orangtuanya pasca gempa 7 4 SR di Palu. Yusman Nadia dan Asep adalah tiga bersaudara yang menunggu kabar orangtuanya. https://t.co/i8URU6qMPt,-10,negative
@ipuulalam @ghozie99 @Hilmi28 Jadi benar fotonya hoax karena bukan/tidak menggambarkan kejadian gempa di palu?,-5,negative
2. Kaum #KoalisiPlastik itu justru membuat narasi baru untuk menyerang Jokowi yang sedang fokus menangani bantuan untuk korban Gempa dan Tsunami di Palu Donggala dan sekitarnya. Narasi mereka Dibohongi Ratna Sarumpaet saja kita tidak terima apalagi dibohongi pemimpin ,-22,negative
Posko Bantuan Kemanusiaan korban Gempa dan Tsunami Palu dan Donggala untuk Wilayah Kab. Takalar di pusatkan di Makodim 1426/Takalar dari berbagai instansi dan masyarakat sangat antusias dalam mengumpulkan bantuan kemanusiaan dibantu oleh anggota Kodim 1426/Takalar. https://t.co/YhkXGCkJWp,-5,negative
@Airin_NZ @hanumrais @Sarah_Pndj @RizmaWidiono @P3nj3l4j4h @muannas_alaidid @HusinShihab @CH_chotimah @ApriliaLin @04Nakula Saat negara dalam kondisi berduka mereka tetep menyebar hoax. Mental mereka seperti para penjarah korban gempa Palu itu. Semoga polisi segera mengusut perbuatan fitnah mereka...,-6,negative
@bangsa_pahlawan Biarkan beliau bekerja Merapi kan bekas musibah gempa dan Sunami di Palu dan Donggala... Capres di Jakarta sibuk konpres minta maaf atas kecerobohan nya....,-10,negative
Di dalam grup pada ribut beragumen yang dihubungkan dengan kejadian Gempa &amp; Tsunami di Donggala dan Palu Sulawesi Tengah. Yang bikin ngakak mereka percaya aja kalau gambar iluminati itu ada di Palu dan akan di resmikan. Namun saat akan diresmikan malah kena bencana ...,-18,negative
==ITS Peduli Palu== Bapak/Ibu sekalian yang kami hormati Bencana alam gempa bumi dan tsunami yang telah menimpa saudara kita di Palu Sulawesi Tengah telah meninggalkan duka yang https://t.co/Wqi5Ji9gwP,-18,negative
I liked a @YouTube video https://t.co/FDtC4ptYN0 'Saya Boleh Ikut Tidak' Tanya Bocah yang Ibunya Meninggal karena Gempa Palu kepada,-8,negative
Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu: Ada sepenggal momen haru dan sedih ketika Presiden Joko Widodo (Jokowi) mengunjungi lokasi gempa di Palu Sulawesi Tengah. https://t.co/430r6EIl9F https://t.co/hZAs9f6kui,-1,negative
@ratnadewikw @kaesangp Mas mungkin akan sangat mulia klu dibuatkan kue pisang dlm jumlah yg banyak untuk para pengungsi korban gempa bumi di palu dan sekitarnya....,-1,negative
@Ronnie_Rusli Harus diproses hukum dong. Dia bikin hoax dan dampaknya se-Indonesia jadi gaduh. Yg lebih parah dia merugikan dan mempermalukan kubu Prabowo-Sandi juga mengalihkan perhatian kita dari gempa tsunami di Palu.,-12,negative
Motor Tetangga Selamatkan Fitria dan Keluarga dari Gempa Palu... - https://t.co/Qh50antEt0 https://t.co/XzvXNFRwHG,-3,negative
Hari Kelima Pasca Gempa Sebagian Lampu Jalan di Palu Sudah menyala https://t.co/mokwyJMLAz lewat @makassarterkini,-3,negative
Jumlah fasilitas MCK di berbagai lokasi terdampak gempa dan tsunami di Palu dan Donggala sangat terbatas. Jika persoalan sanitasi tak segera ditangani para pengungsi dikhawatirkan terjangkit berbagai wabah penyakit #PrayforPalu #PrayforDonggala https://t.co/ecI5YxN0hR,-4,negative
@kompascom Kalo kubu Jokowi ini yg melakukan langsung rombongan Fadli Zon akan membuat gerakan pemakzulan Presiden dan demonstrasi berjilid jilid chaos terjadi dan akhirnya kubu mereka menjadi penguasa. Pemerintah lagi fokus penanganan musibah gempa dan tsunami di palu dibilang pencitraan,-1,negative
IMARET buka klinik 30 minit dari Pusat Gempa Palu https://t.co/Hi7jGqEIx1 https://t.co/4ia0mUAaUn,-3,negative
Ginian digoreng terus. Bagus klean bertindak lebih utk Palu. Dampak &amp; korbannya lebih besar dari Gempa Lombok.,-3,negative
PMII kebumen menylenggarakan mengumpulkan donasi utk korban gempa&amp;tsunami di Donggala ...Palu....Sulteng,-1,negative
@VIVAcoid Hahahaha... Klo FPI yg membantu menangani korban gempa palu dibilang hoax sama penguasa...,-2,negative
Yess.... Terus berjuang pak sampai hukum ditegakkan... Saya gemes banget mereka tega disaat Indonesia berduka dengan korban gempa di palu dan presiden @jokowi sedang fokus bekerja sempet2 nya bikin fitnah dan rusuh,-17,negative
Belajar dari gempa Palu: Indonesia betul-betul butuh sistem logistik kedaruratan bencana https://t.co/dWjcAlso5h via @ConversationIDN,-13,negative
Langsung sedih ketika di explore IG yg isinya cm foto nenek2 bukan foto gempa palu pliss situ tau kan mana berita yg lebih penting ??,-6,negative
